Regulator	Target	MI	pvalue
646	10591	0.2267185506873588	1.0
867	347454	0.252781359834108	1.0
196	153642	0.2929068481547237	1.0
657	64225	0.4896872005825047	1.0
571	1198	0.32122342893802297	1.0
430	253143	0.25771170336564353	1.0
867	738	0.4444378741412843	1.0
165	8483	0.2618001801806784	1.0
4299	114897	0.2543996965975879	1.0
367	84808	0.3774564198438579	1.0
405	51529	0.5935579981825212	1.0
1052	10983	0.23942259624728823	1.0
1388	9973	0.44855727578941185	1.0
196	10175	0.2838348901599961	1.0
602	1604	0.24620174058991395	1.0
430	348110	0.23859935504130902	1.0
867	733	0.30948789941443433	1.0
405	51526	0.3260455992956919	1.0
646	58527	0.23482483147696254	1.0
196	152302	0.311842851143707	1.0
196	139322	0.28217750156870824	1.0
571	1191	0.315395729435366	1.0
571	1192	0.30276487141968556	1.0
4299	55589	0.4116300682743095	1.0
657	112869	0.32655316260160355	1.0
367	131076	0.2963031247015282	1.0
571	1186	0.24325675476201258	1.0
257	79447	0.27615467170649755	1.0
405	51531	0.2916464148228499	1.0
657	8574	0.3084465407167049	1.0
1820	728045	0.22832398602955095	1.0
657	8573	0.30585727578235145	1.0
1052	9411	0.23700494693865437	1.0
867	746	0.5170577859270427	1.0
430	79575	0.2260953995826238	1.0
571	1182	0.4344440102323201	1.0
165	51286	0.3053650034850399	1.0
1050	663	0.27851684901005536	1.0
1386	2182	0.3262445094328277	1.0
1050	662	0.36498743233798425	1.0
1050	6868	0.32861000381598	1.0
1820	55181	0.2358648075151235	1.0
1051	128977	0.24770881231144415	1.0
571	27013	0.23353469282697237	1.0
430	79656	0.33862671496638086	1.0
1386	388284	0.2844456734673839	1.0
1051	80183	0.252618150080389	1.0
4299	55729	0.44799307506168695	1.0
1051	80184	0.30172922456752627	1.0
405	128497	0.26498497809737476	1.0
1051	116983	0.32107616469802736	1.0
1051	80185	0.2513889582662774	1.0
1051	116988	0.2785458814576023	1.0
257	55602	0.2583056967936752	1.0
1051	116987	0.23354930642351368	1.0
571	54622	0.4218104459264948	1.0
4299	55727	0.535780306028026	1.0
1051	116985	0.2445246091977591	1.0
467	90135	0.2618812799419321	1.0
1050	81873	0.34799740744914615	1.0
1050	56899	0.24567609250522526	1.0
1050	657	0.28110188187692664	1.0
